DEPT,CNPOR,GR,RHOB,DT,MELCAL,SPOR,Vsh
1636.50,25.38,30.35,2.04,73.61,14.74,18.40,0.07
1637.00,32.99,41.27,2.00,75.51,10.83,19.74,0.10
1637.50,36.17,46.58,1.86,77.82,10.26,21.37,0.12
1638.00,38.30,39.88,1.73,80.23,12.76,23.08,0.10
1638.50,36.41,28.47,1.72,81.64,16.27,24.07,0.07
1639.00,27.66,18.73,1.82,80.77,16.74,23.46,0.04
1639.50,18.35,14.13,1.91,77.59,13.79,21.21,0.02
1640.00,13.30,13.35,1.93,73.92,12.21,18.62,0.02
1640.50,11.52,14.64,1.91,71.93,12.01,17.21,0.03
1641.00,11.86,14.45,1.91,71.70,11.38,17.05,0.03
1641.50,11.85,14.49,1.94,71.36,11.36,16.80,0.03
1642.00,8.93,14.71,1.96,69.96,14.49,15.81,0.03
1642.50,5.95,13.73,1.95,68.33,15.39,14.66,0.02
1643.00,6.03,11.48,1.93,67.61,15.94,14.15,0.02
1643.50,9.08,13.11,1.90,68.41,16.06,14.72,0.02
1644.00,14.11,14.61,1.87,70.08,15.33,15.90,0.03
1644.50,19.51,11.76,1.87,71.15,15.18,16.66,0.02
1645.00,21.86,9.81,1.92,71.18,12.74,16.68,0.01
1645.50,20.26,10.74,1.97,70.77,12.55,16.39,0.01
1646.00,19.40,13.47,2.00,70.12,13.92,15.93,0.02
1646.50,20.13,13.58,2.00,69.22,14.33,15.29,0.02
1647.00,20.04,12.05,2.00,68.38,14.57,14.69,0.02
1647.50,19.78,12.48,1.97,67.90,15.13,14.35,0.02
1648.00,21.71,13.15,1.87,68.10,14.78,14.50,0.02
1648.50,25.00,11.34,1.73,69.42,15.66,15.43,0.02
1649.00,25.61,12.74,1.66,71.40,17.66,16.84,0.02
1649.50,21.48,14.95,1.71,72.65,17.82,17.72,0.03
1650.00,15.54,19.35,1.84,72.50,13.13,17.61,0.04
1650.50,10.49,22.28,1.95,71.98,9.69,17.24,0.05
1651.00,7.36,19.57,1.97,72.37,11.45,17.52,0.04
1651.50,6.43,18.36,1.93,73.65,12.88,18.42,0.04
1652.00,7.45,19.47,1.86,75.02,13.59,19.39,0.04
1652.50,10.19,17.41,1.81,75.96,14.81,20.05,0.03
1653.00,13.33,16.44,1.80,76.09,14.52,20.15,0.03
1653.50,15.22,20.48,1.80,75.05,11.06,19.41,0.04
1654.00,16.14,24.89,1.81,73.36,10.53,18.22,0.06
